,LMDirichlet_score,QO,query_id,rank,system_name
Environmental_impact_of_agriculture.,-16.675494732295164,Q0,6,1,LM Dirichlet
Invasive_species.,-16.923830274379398,Q0,6,2,LM Dirichlet
Sustainability_organizations.,-17.080775574542926,Q0,6,3,LM Dirichlet
Climate_change_and_agriculture.,-17.258282458375987,Q0,6,4,LM Dirichlet
Population_dynamics.,-17.611227228833428,Q0,6,5,LM Dirichlet
Sustainable_agriculture.,-17.850955578079933,Q0,6,6,LM Dirichlet
Regime_shift.,-17.919849002857795,Q0,6,7,LM Dirichlet
Deforestation_and_climate_change.,-18.580783375314656,Q0,6,8,LM Dirichlet
Permaculture.,-18.719201564273988,Q0,6,9,LM Dirichlet
Biodiversity.,-18.85716458279655,Q0,6,10,LM Dirichlet
Environmental_governance.,-18.934009308689152,Q0,6,11,LM Dirichlet
World_population.,-19.08111187877363,Q0,6,12,LM Dirichlet
Global_population.,-19.08186485033096,Q0,6,13,LM Dirichlet
Reducing_emissions_from_deforestation_and_forest_degradation.,-19.441129808980804,Q0,6,14,LM Dirichlet
Forest_gardening.,-19.8510414853806,Q0,6,15,LM Dirichlet
Sustainable_yield.,-20.00910644127275,Q0,6,16,LM Dirichlet
Climate_change_in_the_United_States.,-20.194589829402496,Q0,6,17,LM Dirichlet
Wood.,-20.326786492069694,Q0,6,18,LM Dirichlet
Quick_time_event.,-20.591050007810626,Q0,6,19,LM Dirichlet
Urban_reforestation.,-20.74558001465312,Q0,6,20,LM Dirichlet
Virtual_camera_system.,-20.75840151866287,Q0,6,21,LM Dirichlet
"Land_use,_land-use_change,_and_forestry.",-20.795125038487647,Q0,6,22,LM Dirichlet
Forest_dieback.,-20.980782052473803,Q0,6,23,LM Dirichlet
Sustainable_living.,-20.982799071852273,Q0,6,24,LM Dirichlet
Conservation_biology.,-21.031789328433263,Q0,6,25,LM Dirichlet
Trace_gas.,-21.248730456552437,Q0,6,26,LM Dirichlet
Sustainable_forest_management.,-21.34460584835982,Q0,6,27,LM Dirichlet
Sustainable_fashion.,-21.60439005886402,Q0,6,28,LM Dirichlet
Emission_standard.,-21.64570603238337,Q0,6,29,LM Dirichlet
Climate_change_in_Africa.,-21.709773567337095,Q0,6,30,LM Dirichlet
Birth_control.,-21.760879490208616,Q0,6,31,LM Dirichlet
Population_Research_Institute.,-21.767492118328676,Q0,6,32,LM Dirichlet
Effects_of_global_warming_on_Australia.,-21.80760719257333,Q0,6,33,LM Dirichlet
Tang_campaigns_against_the_Western_Turks.,-21.834406252258905,Q0,6,34,LM Dirichlet
Two-child_policy.,-21.844248334001506,Q0,6,35,LM Dirichlet
Sustainable_urban_drainage_systems.,-21.86329854070371,Q0,6,36,LM Dirichlet
The_Population_Bomb.,-22.025912323297824,Q0,6,37,LM Dirichlet
Wine.,-22.054964691933158,Q0,6,38,LM Dirichlet
Weather_modification.,-22.119056688226674,Q0,6,39,LM Dirichlet
Fertility_and_intelligence.,-22.120572924663698,Q0,6,40,LM Dirichlet
Population.,-22.13998632456601,Q0,6,41,LM Dirichlet
Forestry.,-22.1810198790309,Q0,6,42,LM Dirichlet
Population_and_Environment.,-22.198996383594803,Q0,6,43,LM Dirichlet
EPA_Federal_Test_Procedure.,-22.21119473107226,Q0,6,44,LM Dirichlet
Joseph_Black.,-22.213108746332146,Q0,6,45,LM Dirichlet
trigram_Doc_TC.txt,-22.239263746739763,Q0,6,46,LM Dirichlet
bigram_Doc_TC.txt,-22.239263746739763,Q0,6,47,LM Dirichlet
Biosecurity.,-22.294044164355807,Q0,6,48,LM Dirichlet
Glacial_period.,-22.361742285074392,Q0,6,49,LM Dirichlet
Reforestation.,-22.39320875634853,Q0,6,50,LM Dirichlet
Private_brand.,-22.423617609341754,Q0,6,51,LM Dirichlet
List_of_scheduled_monuments_in_Taunton_Deane.,-22.520885971296405,Q0,6,52,LM Dirichlet
Gameplay.,-22.537840550053915,Q0,6,53,LM Dirichlet
Charmaine_Dragun.,-22.567364977042168,Q0,6,54,LM Dirichlet
Quarry.,-22.63089872111656,Q0,6,55,LM Dirichlet
Climate_change_in_Russia.,-22.633713640652317,Q0,6,56,LM Dirichlet
unigram_Doc_TC.txt,-22.661881934074174,Q0,6,57,LM Dirichlet
Family_planning.,-22.721639354834053,Q0,6,58,LM Dirichlet
Climate_change_in_Bangladesh.,-22.72794242482113,Q0,6,59,LM Dirichlet
Environmental_technology.,-22.735833244695407,Q0,6,60,LM Dirichlet
Sustainability_and_environmental_management.,-22.738728299483178,Q0,6,61,LM Dirichlet
Environmental_impact_of_irrigation.,-22.75082582348179,Q0,6,62,LM Dirichlet
Dam.,-22.79995243279369,Q0,6,63,LM Dirichlet
Free_content.,-22.81567792165427,Q0,6,64,LM Dirichlet
Carbon_diselenide.,-22.853779893239498,Q0,6,65,LM Dirichlet
World3.,-22.85881324181281,Q0,6,66,LM Dirichlet
Units_of_measurement.,-22.89029331656485,Q0,6,67,LM Dirichlet
Environmental_impact_of_fishing.,-22.901293234294407,Q0,6,68,LM Dirichlet
Sustainable_fishery.,-22.93184755517032,Q0,6,69,LM Dirichlet
Fisheries_management.,-22.937689350504762,Q0,6,70,LM Dirichlet
Waste_hierarchy.,-22.97833185051274,Q0,6,71,LM Dirichlet
Sergei_Krikalev.,-22.982116594397958,Q0,6,72,LM Dirichlet
Manufactured_controversy.,-22.999059865514823,Q0,6,73,LM Dirichlet
Effects_of_global_warming_on_marine_mammals.,-23.00584389447689,Q0,6,74,LM Dirichlet
Carbon_footprint_unfocussed.csv,-23.01218806870486,Q0,6,75,LM Dirichlet
Carbon_Footprint.csv,-23.014584713689075,Q0,6,76,LM Dirichlet
Environmental_impact_of_the_oil_shale_industry.,-23.025365313695833,Q0,6,77,LM Dirichlet
National_Institute_for_Occupational_Safety_and_Health.,-23.028369531719832,Q0,6,78,LM Dirichlet
Environmental_impact_of_biodiesel.,-23.031830338951274,Q0,6,79,LM Dirichlet
Environmental_impact_of_electricity_generation.,-23.034918874147294,Q0,6,80,LM Dirichlet
Redox_potential.,-23.09021372246142,Q0,6,81,LM Dirichlet
Climate_change_in_the_United_Kingdom.,-23.127477748212456,Q0,6,82,LM Dirichlet
Climate_change_and_gender.,-23.145672425403035,Q0,6,83,LM Dirichlet
Reproductive_rights.,-23.157933084092097,Q0,6,84,LM Dirichlet
Dielectric_constant.,-23.168586258673514,Q0,6,85,LM Dirichlet
One-child_policy.,-23.172193695464518,Q0,6,86,LM Dirichlet
Western_Turkic_Khaganate.,-23.20030875796124,Q0,6,87,LM Dirichlet
Battle_of_Meligalas.,-23.204955170739037,Q0,6,88,LM Dirichlet
Sustainable_community.,-23.21160783016905,Q0,6,89,LM Dirichlet
Oxidation.,-23.230850662024743,Q0,6,90,LM Dirichlet
Car.,-23.28660401656653,Q0,6,91,LM Dirichlet
Zero_population_growth.,-23.31370667912371,Q0,6,92,LM Dirichlet
Sublimation_(phase_transition).,-23.318677380837528,Q0,6,93,LM Dirichlet
Sublimation_(chemistry).,-23.321471513614114,Q0,6,94,LM Dirichlet
Pollution.,-23.3384160995044,Q0,6,95,LM Dirichlet
Sustainability_accounting.,-23.34229193248934,Q0,6,96,LM Dirichlet
Palestine_(region).,-23.37454454817639,Q0,6,97,LM Dirichlet
Climate_change_in_China.,-23.40563485656628,Q0,6,98,LM Dirichlet
Fisheries_and_climate_change.,-23.406016621344122,Q0,6,99,LM Dirichlet
Carbon_credit.,-23.4314124806031,Q0,6,100,LM Dirichlet
