qid,precision@5,precision@20
38,0.0,0.0
10,0.0,0.0
11,0.0,0.0
39,0.0,0.0
13,0.0,0.0
12,0.0,0.03333333333333333
16,0.06666666666666667,0.1
9,0.0,0.0
8,0.0,0.0
17,0.0,0.0
15,0.0,0.03333333333333333
29,0.0,0.0
28,0.06666666666666667,0.03333333333333333
14,0.13333333333333333,0.13333333333333333
58,0.0,0.03333333333333333
64,0.0,0.0
59,0.06666666666666667,0.03333333333333333
61,0.0,0.03333333333333333
49,0.06666666666666667,0.03333333333333333
48,0.0,0.0
60,0.0,0.0
62,0.13333333333333333,0.06666666666666667
63,0.0,0.0
45,0.06666666666666667,0.03333333333333333
44,0.06666666666666667,0.06666666666666667
40,0.0,0.0
43,0.0,0.0
57,0.0,0.0
42,0.0,0.0
19,0.0,0.0
25,0.0,0.0
31,0.0,0.0
6,0.0,0.0
7,0.0,0.0
30,0.0,0.0
24,0.0,0.0
18,0.0,0.0
32,0.0,0.0
26,0.0,0.0
5,0.0,0.0
4,0.0,0.0
27,0.0,0.0
33,0.0,0.0
37,0.0,0.0
23,0.0,0.0
1,0.0,0.0
22,0.0,0.0
36,0.0,0.03333333333333333
20,0.06666666666666667,0.03333333333333333
3,0.0,0.0
2,0.06666666666666667,0.1
21,0.0,0.0
