qid,precision@5,precision@20
38,0.0,0.1
10,0.6,0.15
11,0.0,0.05
39,0.2,0.1
13,0.2,0.1
12,0.4,0.1
16,0.6,0.25
9,0.2,0.1
8,0.4,0.15
17,0.4,0.55
15,0.8,0.2
29,0.2,0.1
28,0.2,0.2
14,0.2,0.2
58,0.2,0.15
64,0.2,0.2
59,0.4,0.2
61,0.0,0.1
49,0.2,0.15
48,0.4,0.1
60,0.0,0.05
62,0.4,0.25
63,0.2,0.15
45,0.2,0.5
44,0.0,0.05
40,0.0,0.0
43,0.4,0.4
57,0.2,0.25
42,0.4,0.3
19,0.2,0.1
25,0.0,0.0
31,0.0,0.15
6,0.2,0.3
7,0.4,0.1
30,0.8,0.3
24,0.0,0.0
18,0.0,0.0
32,0.2,0.05
26,0.0,0.05
5,0.0,0.0
4,0.0,0.0
27,0.0,0.0
33,0.0,0.0
37,0.0,0.0
23,0.0,0.0
1,0.0,0.0
22,0.2,0.05
36,0.8,0.45
20,0.2,0.2
3,0.8,0.5
2,0.0,0.05
21,0.2,0.05
