qid,precision@5,precision@20
1.0,0.0,0.1
2.0,0.6,0.15
3.0,0.0,0.0
4.0,0.2,0.1
5.0,0.2,0.1
6.0,0.4,0.1
7.0,0.6,0.25
8.0,0.2,0.1
9.0,0.4,0.2
10.0,0.6,0.6
11.0,0.6,0.4
12.0,0.4,0.1
13.0,0.6,0.2
14.0,0.2,0.25
15.0,0.2,0.15
16.0,0.2,0.2
17.0,0.6,0.2
18.0,0.0,0.15
19.0,1.0,0.3
20.0,0.4,0.1
21.0,0.0,0.05
22.0,0.4,0.25
23.0,0.6,0.2
24.0,0.2,0.05
25.0,0.8,0.45
26.0,0.2,0.25
27.0,0.8,0.35
28.0,0.8,0.2
29.0,0.4,0.5
30.0,0.0,0.05
31.0,0.2,0.1
32.0,0.2,0.05
33.0,0.0,0.0
36.0,0.4,0.4
37.0,0.2,0.25
38.0,0.4,0.1
39.0,0.4,0.3
40.0,0.2,0.1
42.0,0.0,0.15
43.0,0.2,0.3
44.0,0.4,0.1
45.0,0.8,0.3
48.0,0.2,0.05
49.0,0.0,0.05
57.0,0.2,0.05
58.0,0.8,0.45
59.0,0.2,0.2
60.0,0.2,0.1
61.0,0.8,0.5
62.0,0.0,0.05
63.0,1.0,0.45
64.0,0.2,0.05
