qid,precision@5,precision@20
38.0,0.0,0.0
10.0,0.2,0.1
11.0,0.0,0.0
39.0,0.2,0.1
13.0,0.2,0.05
12.0,0.0,0.1
16.0,0.2,0.3
9.0,0.0,0.05
8.0,0.2,0.15
17.0,0.0,0.3
15.0,0.6,0.25
29.0,0.4,0.1
28.0,0.4,0.2
14.0,0.6,0.25
58.0,0.2,0.15
64.0,0.0,0.05
59.0,0.2,0.1
61.0,0.0,0.05
49.0,0.0,0.15
48.0,0.0,0.0
60.0,0.2,0.05
62.0,0.8,0.35
63.0,0.4,0.2
45.0,0.8,0.45
44.0,0.2,0.05
40.0,0.0,0.0
43.0,0.4,0.2
57.0,0.2,0.1
42.0,0.2,0.15
19.0,0.0,0.1
25.0,0.0,0.0
31.0,0.2,0.15
6.0,0.2,0.1
7.0,0.2,0.1
30.0,0.2,0.25
24.0,0.0,0.0
18.0,0.0,0.0
32.0,0.2,0.2
26.0,0.0,0.0
5.0,0.0,0.0
4.0,0.0,0.0
27.0,0.0,0.0
33.0,0.0,0.0
37.0,0.0,0.0
23.0,0.0,0.0
1.0,0.0,0.0
22.0,0.2,0.05
36.0,0.2,0.2
20.0,0.2,0.2
3.0,0.2,0.35
2.0,0.0,0.05
21.0,0.2,0.05
