,qid,Q0,result,rank,score,system,relevance,relevant_len,recall,precision
0,38,Q0,CACM-3031,1,0.17135987,Lucene,True,16.0,0.0,0.0
1,38,Q0,CACM-3142,2,0.13245165,Lucene,False,16.0,0.0,0.0
2,38,Q0,CACM-2931,3,0.12733905,Lucene,False,16.0,0.2,0.3333333333333333
3,38,Q0,CACM-2082,4,0.125942,Lucene,False,16.0,0.2,0.25
4,38,Q0,CACM-3105,5,0.104539774,Lucene,False,16.0,0.4,0.4
5,38,Q0,CACM-2470,6,0.094769135,Lucene,False,16.0,0.4,0.3333333333333333
6,38,Q0,CACM-1698,7,0.08648705,Lucene,False,16.0,0.4,0.2857142857142857
7,38,Q0,CACM-2233,8,0.08147296,Lucene,False,16.0,0.4,0.25
8,38,Q0,CACM-2369,9,0.078299895,Lucene,False,16.0,0.4,0.2222222222222222
9,38,Q0,CACM-2867,10,0.070887774,Lucene,False,16.0,0.4,0.2
10,38,Q0,CACM-3103,11,0.068245664,Lucene,True,16.0,0.4,0.18181818181818182
11,38,Q0,CACM-1470,12,0.06590627,Lucene,False,16.0,0.4,0.16666666666666666
12,38,Q0,CACM-1861,13,0.0635761,Lucene,False,16.0,0.4,0.15384615384615385
13,38,Q0,CACM-2970,14,0.06329617,Lucene,False,16.0,0.4,0.14285714285714285
14,38,Q0,CACM-3177,15,0.06271567,Lucene,False,16.0,0.4,0.13333333333333333
15,38,Q0,CACM-2815,16,0.057377674000000004,Lucene,False,16.0,0.4,0.125
16,38,Q0,CACM-0595,17,0.05465134,Lucene,False,16.0,0.4,0.11764705882352941
17,38,Q0,CACM-2958,18,0.05411221,Lucene,True,16.0,0.4,0.1111111111111111
18,38,Q0,CACM-2941,19,0.054050565,Lucene,True,16.0,0.4,0.10526315789473684
19,38,Q0,CACM-1931,20,0.051693257,Lucene,False,16.0,0.4,0.1
20,38,Q0,CACM-2208,21,0.049820468,Lucene,False,16.0,0.4,0.09523809523809523
21,38,Q0,CACM-1323,22,0.04806569,Lucene,False,16.0,0.4,0.09090909090909091
22,38,Q0,CACM-2989,23,0.04803212,Lucene,False,16.0,0.4,0.08695652173913043
23,38,Q0,CACM-1768,24,0.04767106,Lucene,False,16.0,0.4,0.08333333333333333
24,38,Q0,CACM-2390,25,0.04741254,Lucene,False,16.0,0.4,0.08
