result,sentence
CACM-2875,"    development of an international system for legal protection of computer programs  cacm april, 1976  smoot, o. r.  copyright of software, patenting of software, legal protection of software  2.3 4.5  ca760401 jb january 4, 1978  4:42 pm  2875 5 2875 2875 5 2875 2875 5 2875    "
CACM-1757,"    data code for calendar date for machine-to-machine data interchange* (proposed usa standard)  cacm april, 1968  usa standard, data code, calendar date, machine-to-machine data interchange, recording calendar"
CACM-1757,"date, data group identifier  2.0 2.11 2.19 2.3 2.40 2.43 2.49 3.50 3.52 3.53 3.55 3.56 3.59 3.70 3.71 3.73 3.74, 3.79, 3.81, 4.1, 4.9  ca680413 jb february 23, 1978  10:18 am  1757 5 1757 1757 5 1757 1757 5 1757    "
CACM-2038,"    combinations of m out of n objects (algorithm 382 $g6))  cacm june, 1970  chase, p. j.  permutations and combinations, permutations  5.39  ca700617 jb february 13, 1978  9:59 am  2038 5 2038 2038 5 2038 2038 5 2038    "
CACM-2244,"    product { type } trapezoidal integration (algorithm a436)  cacm december, 1972  boland, w. r.  numerical integration, product { type } quadrature, trapezoidal integration  5.16  ca721211 jb january 27, 1978  9:11 am  2244 5 2244 2244 5 2244 2244 5 2244    "
CACM-1795,"    optimal code for serial and parallel computation  cacm december, 1969  fateman, r. j.  code optimization, sequencing of operations, detection of common subexpressions  4.12  ca691217 jb february 15, 1978  1:59 pm  1795 5 1795 1795 5 1795 1795 5 1795    "
CACM-2243,"    product { type } simpson's integration [d1] (algorithm a437)  cacm december, 1972  boland, w. r.  numerical integration, product { type } quadrature, simpson's rule  5.16  ca721212 jb january 27, 1978  9:10 am  2243 5 2243 2243 5 2243 2243 5 2243    "
CACM-2027,"    ricatti-bessel functions of first and second kind (algorithm 22 $s17))  cacm july, 1970  bray, t.  ricatti-bessel functions, bessel functions of fractional order, spherical bessel functions  5.12  ca700710 jb february 10, 1978  4:29 pm  2027 5 2027 2027 5 2027 2027 5 2027    "
CACM-2241,"    product { type } three-point gauss-legendre-simpson's integration [d1] (algorithm a439)  cacm december, 1972  boland, w. r.  numerical integration, product { type } quadrature, gaussian quadrature, simpson's rule  5.16  ca721214 jb january 27, 1978  9:06 am  2241 5 2241 2241 5 2241 2241 5 2241    "
CACM-2242,"    product { type } two-point gauss-legendre-simpson's integration [d1] (algorithm a438)  cacm december, 1972  boland, w. r.  numerical integration, product { type } quadrature, gaussian quadrature, simpson's rule  5.16  ca721213 jb january 27, 1978  9:08 am  2242 5 2242 2242 5 2242 2242 5 2242    "
CACM-1219,"    number of restricted partitions of n (algorithm 262 [a1])  cacm august, 1965  mckay,j. k. s.  ca650805 jb march 6, 1978  8:26 pm  1219 5 1219 1219 5 1219 1219 5 1219 2104 5 1219 2489 5 1219 1219 6 1219 1219 6 1219 2104 6 1219    "
CACM-0723,"    ecma subset of algol 60  cacm october, 1963  ca631002 jb march 13, 1978  6:38 pm  723 5 723 723 5 723 723 5 723    "
CACM-2131,"    rapid computation of weights of interpolatory quadrature rules [d1] (algorithm 417)  cacm december, 1971  gustafson, s.  divided differences  5.16  ca711212 jb february 2, 1978  9:33 am  2131 4 2131 2132 4 2131 2131 5 2131 2131 5 2131 2131 5 2131 2135 5 2131 2131 6 2131 2132 6 2131    "
CACM-0722,"    alcor group representation of algol symbols  cacm october, 1963  ca631003 jb march 13, 1978  6:36 pm  722 5 722 722 5 722 722 5 722    "
CACM-3007,"    complexity of computations (corrigendum)  cacm march, 1978  rabin, m.  ca780306 jb march 28, 1978  1:02 pm  3007 5 3007 3007 5 3007 3007 5 3007    "
CACM-1461,"    discussion summary on operating systems  cacm march, 1966  ca660311 jb march 3, 1978  1:26 pm  1461 5 1461 1461 5 1461 1461 5 1461    "
CACM-2132,"    rapid computation of coefficients of interpolation formulas [e1] (algorithm 416)  cacm december, 1971  gustafson, s.  divided differences, newton's interpolation formula  5.13  ca711211 jb february 2, 1978  9:36 am  2131 4 2132 2132 4 2132 2135 5 2132 2132 5 2132 2132 5 2132 2132 5 2132 2131 6 2132 2132 6 2132    "
CACM-0019,"    glossary of computer engineering and programming terminology  cacm june, 1958  ca580603 jb march 22, 1978  9:07 pm  19 5 19 19 5 19 19 5 19    "
CACM-0037,"    impact of computer developments  cacm december, 1959  humphrey, s. m.  ca591205 jb march 22, 1978  3:36 pm  37 5 37 37 5 37 37 5 37    "
CACM-0237,"    computer production of peek-a-boo sheets  cacm december, 1961  robbins, d.  ca611213 jb march 15, 1978  10:07 pm  237 5 237 237 5 237 237 5 237    "
CACM-0004,"    glossary of computer engineering and programming terminology  cacm november, 1958  ca581103 jb march 22, 1978  8:32 pm  4 5 4 4 5 4 4 5 4    "
CACM-0010,"    glossary of computer engineering and programming terminology  cacm september, 1958  ca580903 jb march 22, 1978  8:39 pm  10 5 10 10 5 10 10 5 10    "
CACM-0013,"    glossary of computer engineering and programming terminology  cacm august, 1958  ca580805 jb march 22, 1978  8:57 pm  13 5 13 13 5 13 13 5 13    "
CACM-0007,"    glossary of computer engineering and programming terminology  cacm october, 1958  ca581003 jb march 22, 1978  8:35 pm  7 5 7 7 5 7 7 5 7    "
CACM-0315,"    solution of tridiagonal matrices  cacm july, 1961  wenrick, r. c.  ca610702 jb march 16, 1978  10:28 pm  315 5 315 315 5 315 315 5 315    "
CACM-0985,"    report on subset algol 60 (ifip)  cacm october, 1964  ca641017 jb march 9, 1978  4:33 pm  985 5 985 985 5 985 985 5 985    "
CACM-0905,"    algebra of sets (algorithm 156)  cacm march, 1963  mifsud, c. j.  ca630315 jb march 14, 1978  1:32 pm  905 5 905 905 5 905 905 5 905    "
